Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Longitude,Latitude
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,127.766922,35.907757
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,25.013607,58.595272
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,-77.297508,18.109581
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,57.552152,-20.348404
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,138.252924,36.204824
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,-86.241905,15.199999
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,66.923684,48.019573
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,-63.588653,-16.290154
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,19.503304,47.162494
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,-58.443832,-23.442503
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,33.20343,35.095192
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,-75.015152,-9.189967
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,-8.224454,39.399872
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,69.345116,30.375321
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,105.318756,61.52401
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,121.774017,12.879721
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,21.005859,44.016521
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,28.369885,47.411631
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,17.228331,26.3351
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,19.37439,42.708678
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,71.276093,38.861034
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,15.2,45.1
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,114.109497,22.396428
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,-70.162651,18.735693
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,17.679076,43.915886
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,35.243322,38.963745
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,101.975766,4.210484
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,27.953389,53.709807
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,21.824312,39.074208
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,103.846656,46.862496
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,21.745275,41.608635
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,8.675277,9.081999
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,74.766098,41.20438
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,59.556278,38.969719
